chunk_size,chunk_overlap,llm_context_precision_with_reference,context_recall,context_entity_recall,faithfulness,answer_relevancy,factual_correctness,selection_score
400,80,0.8003787878550725,0.8409090909090909,0.48387445785663874,0.8106060606060606,0.33851864183519687,0.6281818181818182,0.7083874455402674
800,160,0.8304924242140989,0.8787878787878788,0.4533327773853993,0.8787337662337663,0.31840323294857514,0.5427272727272728,0.7208710267957924
1200,240,0.878472222198219,0.9545454545454546,0.40886058301938744,0.8781483667847304,0.30149612357342903,0.5872727272727274,0.7472927532543537
