chunk_size,chunk_overlap,llm_context_precision_with_reference,context_recall,context_entity_recall,faithfulness,answer_relevancy,factual_correctness,selection_score
400,80,0.8642676767408595,0.7878787878787878,0.5331529570638612,0.8254132231404959,0.34145219964810986,0.6200000000000001,0.7284331405611696
800,160,0.8060606060341478,0.8636363636363636,0.45568017738327415,0.8681818181818183,0.3264680382343672,0.5986363636363637,0.7084590490179284
1200,240,0.8715909090658556,0.9583333333333333,0.3660658777693227,0.7976731601731601,0.3140950333903125,0.6290909090909091,0.7319967067228372
